segment	rtt	rttvar	srtt	rto
633	157.984	96.9724	100.651	488.54
634	158.104	96.8424	100.745	488.115
635	158.117	96.7125	100.84	487.69
636	157.931	96.5822	100.934	487.262
637	157.901	96.4519	101.027	486.835
638	157.146	96.3192	101.12	486.396
639	157.52	96.1879	101.212	485.964
640	157.399	96.0563	101.305	485.53
641	158.132	95.9273	101.398	485.107
642	157.612	95.7966	101.491	484.677
643	157.502	95.6657	101.583	484.246
644	157.499	95.535	101.675	483.815
645	157.967	95.4059	101.767	483.391
646	157.759	95.2763	101.86	482.965
647	157.832	95.147	101.952	482.539
648	158.006	95.0184	102.044	482.117
649	157.775	94.8891	102.135	481.692
650	157.868	94.7603	102.227	481.268
651	157.61	94.6308	102.318	480.841
652	157.99	94.5026	102.41	480.42
653	157.821	94.3741	102.501	479.997
654	157.979	94.2461	102.592	479.577
655	157.784	94.1176	102.683	479.154
656	157.911	93.9897	102.774	478.733
657	158.028	93.8623	102.865	478.314
658	158.237	93.7357	102.956	477.898
659	157.879	93.608	103.046	477.478
660	159.187	93.4848	103.138	477.077
661	158.992	93.361	103.23	476.674
662	161.167	93.2444	103.326	476.303
663	163.899	93.137	103.425	475.973
664	163.94	93.0297	103.525	475.643
665	164.549	92.9244	103.625	475.323
666	164.68	92.8196	103.726	475.004
667	164.914	92.7155	103.826	474.688
668	166.377	92.6163	103.929	474.394
669	167.68	92.5213	104.034	474.119
670	168.15	92.4279	104.139	473.851
671	167.891	92.3336	104.244	473.578
672	164.892	92.2293	104.344	473.261
673	155.946	92.0957	104.429	472.812
674	155.653	91.9612	104.513	472.358
675	155.09	91.8251	104.596	471.897
676	154.996	91.6888	104.679	471.435
677	155.213	91.5535	104.762	470.976
678	155.122	91.418	104.845	470.517
679	155.248	91.283	104.928	470.06
680	155.402	91.1488	105.011	469.606
681	155.244	91.0142	105.094	469.15
682	155.224	90.8797	105.176	468.695
683	155.639	90.7468	105.259	468.246
684	155.324	90.6129	105.341	467.793
685	155.546	90.48	105.424	467.344
686	155.66	90.3476	105.507	466.897
687	155.695	90.2155	105.589	466.451
688	155.66	90.0835	105.672	466.005
689	156.01	89.9527	105.754	465.565
690	156.425	89.8235	105.838	465.132
691	156.028	89.6932	105.92	464.693
692	156.72	89.5652	106.004	464.265
693	157.017	89.4384	106.088	463.841
694	157.284	89.3126	106.172	463.422
695	157.052	89.1862	106.256	463
696	157.606	89.0617	106.34	462.587
697	157.859	88.9382	106.425	462.178
698	158.207	88.816	106.51	461.774
699	158.995	88.6965	106.596	461.382
700	158.727	88.5762	106.682	460.987
701	158.537	88.4554	106.767	460.589
702	158.175	88.3335	106.852	460.186
703	158.102	88.2116	106.936	459.782
704	158.353	88.0905	107.021	459.383
705	158.84	87.9712	107.106	458.991
706	158.772	87.8518	107.191	458.598
707	158.259	87.7308	107.275	458.198
708	158.823	87.6118	107.36	457.807
709	158.526	87.4919	107.444	457.411
710	158.305	87.3714	107.527	457.013
711	159.931	87.2564	107.614	456.639
712	160.178	87.1422	107.7	456.269
713	160.159	87.0282	107.786	455.899
714	159.953	86.9135	107.872	455.526
715	160.733	86.8015	107.959	455.165
716	161.194	86.691	108.047	454.811
717	161.923	86.5831	108.135	454.468
718	162.815	86.4782	108.225	454.138
719	164.068	86.3774	108.317	453.827
720	161.655	86.2687	108.405	453.48
721	160.636	86.1567	108.491	453.118
722	160.759	86.0453	108.577	452.758
723	160.526	85.9331	108.662	452.395
724	159.949	85.8191	108.746	452.023
725	159.309	85.7032	108.83	451.642
726	159.556	85.5881	108.913	451.265
727	158.748	85.4705	108.995	450.877
728	158.096	85.3509	109.076	450.479
729	156.838	85.2272	109.154	450.063
730	156.13	85.1014	109.232	449.637
731	156.171	84.9758	109.309	449.212
732	156.782	84.8525	109.387	448.797
733	156.497	84.7283	109.464	448.378
734	156.597	84.6047	109.542	447.961
735	156.588	84.4811	109.619	447.544
736	156.703	84.3581	109.697	447.129
737	156.665	84.2351	109.774	446.714
738	156.577	84.112	109.851	446.299
739	156.571	83.989	109.928	445.884
740	156.403	83.8656	110.004	445.467
